Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
230,Kyrie Irving\irvinky01,PG,25,BOS,60,60,32.2,8.9,18.1,.491,2.8,6.8,.408,6.1,11.3,.541,.568,3.9,4.4,.889,0.6,3.2,3.8,5.1,1.1,0.3,2.3,2.0,24.4
231,Jonathan Isaac\isaacjo01,PF,20,ORL,21,4,19.0,1.8,4.9,.369,0.4,1.5,.290,1.4,3.4,.403,.413,0.7,0.9,.778,0.7,2.9,3.6,0.7,1.0,1.1,0.8,1.8,4.7
232,Wesley Iwundu\iwundwe01,SF,23,ORL,49,3,14.3,1.3,3.0,.442,0.1,0.6,.222,1.2,2.4,.492,.463,0.5,0.7,.765,0.5,1.5,2.0,0.8,0.5,0.1,0.4,1.2,3.3
233,Jarrett Jack\jackja01,PG,34,NYK,57,56,25.9,3.1,7.3,.424,0.4,1.4,.296,2.7,5.9,.455,.453,1.0,1.2,.829,0.4,2.8,3.1,5.8,0.6,0.1,1.9,1.7,7.6
234,Demetrius Jackson\jacksde01,PG,23,HOU,12,0,5.3,0.3,1.2,.286,0.0,0.5,.000,0.3,0.7,.500,.286,0.0,0.0,,0.3,0.6,0.9,0.4,0.3,0.1,0.8,0.5,0.7
235,Josh Jackson\jacksjo02,SF,20,PHO,65,25,23.8,4.4,10.8,.409,0.7,2.8,.261,3.7,8.0,.461,.443,2.0,3.2,.620,1.2,3.1,4.3,1.3,0.9,0.4,1.7,2.8,11.5
236,Justin Jackson\jacksju01,SF,22,SAC,54,27,20.9,2.6,5.9,.437,0.8,2.5,.307,1.8,3.4,.536,.503,0.4,0.6,.688,0.4,2.2,2.7,1.0,0.4,0.2,0.6,1.0,6.3
237,Reggie Jackson\jacksre01,PG,27,DET,33,33,27.1,5.5,12.3,.446,1.3,3.8,.339,4.2,8.5,.493,.498,2.4,2.8,.840,0.7,2.2,2.8,5.5,0.6,0.1,2.5,2.1,14.6
238,LeBron James\jamesle01,PF,33,CLE,66,66,37.0,10.3,19.0,.543,1.8,4.9,.371,8.5,14.1,.604,.592,4.4,6.0,.728,1.2,7.3,8.4,9.0,1.5,0.9,4.2,1.6,26.9
239,Mike James\jamesmi02,PG,27,TOT,36,10,19.1,3.4,8.9,.383,0.7,2.7,.265,2.7,6.2,.435,.424,1.8,2.3,.762,0.4,2.1,2.5,3.5,0.8,0.2,1.4,1.3,9.3
